movie_title,reviewer,rate,review
에이전트 A.K.A.,다솜땅,3.0,"어처구니가 없지..힘이 없는게, 빼앗기는게, 지킬수 없는게..그게 죄지..작은 희망이라도 품는게,그게 죄일까..#23.4.29 (360)"
에이전트 A.K.A.,양동철,3.0,프랑스 아저씨는 둘이나 구했다.
에이전트 A.K.A.,BeBe (재미감별사),3.0,존윅 베이비시터 버젼 👍🏻
에이전트 A.K.A.,한상유,3.5,2023.5.3(혼자)수상할 정도로 아이를 좋아하는 아저씨.
에이전트 A.K.A.,뚜루11,3.0,힘 없는게 죄다...해외판 아저씨 느낌
에이전트 A.K.A.,버드,3.5,군더더기없는 액션  깔끔한 결말.
에이전트 A.K.A.,동네불패,2.5,어디선 본듯한 데쟈뷰..어!희한하네..
에이전트 A.K.A.,여양님,3.0,뻔한데 재밌ㅋㅋㅋ 남주아저씨 제이슨스타뎀느낌 나면서 몸 잘쓰는데 이름도 누아르네 ㅋㅋㅋㅋ 대충보다 자려고했는데 끝까지 꽤 재밌게봄
에이전트 A.K.A.,뚝심있는 남자 고뚝심,1.5,쿨찐
에이전트 A.K.A.,Nobody,2.5,중국산 게임처럼 길게 붙은 호칭에 비해 정작 하는 일이 많지 않던 다른 스파이 영화들보다는 많은 일을 한다.
에이전트 A.K.A.,감자탕와뼈해장국,3.0,2023. 05. 02아저씨 + 13구역먼치킨류 장르로 깔끔하고 정돈된 액션과 내용. 알맞은 킬링타임 영화
에이전트 A.K.A.,트러리,3.5,먼치킨 특수부대원의 화끈한 액션과 음모. 정석 중의 정석.
길복순,기태,3.0,솔직히 말해도 됨?불한당 때부터 변성현 취향 진짜 빻았다고 생각함근데내 취향이 더 빻아서 괜찮음늘 재밌다 성현아
길복순,박준영 (영화 담다),3.5,액션을 품은 멜로 드라마이자 성장 영화.예상 할 수 있을 이야기를 조금씩 꼬아가면서 차민규와의 관계부터 왜 길복순이라는 인물이 '살인청부업자'로 살아가게 되었는지 관객들이 납득할 수 있게끔 너무 길지 않게 이야기를 풀어나간다. 자칫하면 설명이 길어질 수 있는 부분들을 짧게 회상으로 담아내거나 생략함으로써 관객들에게 '상상'할 수 있는 여지를 어느정도 남긴다.
길복순,재원,3.0,겉멋과 허세마저 스타일리쉬하고 섹시하게 보이도록 하는 전도연과 설경구의 앙상블.
길복순,빡치고짜증나는작품만코멘트함,0.5,전도연한테 감사해라
길복순,이동진 평론가,2.0,"제대로 작동하지 않는 그 아이러니한 세계, 온전히 배어들지 못한 그 쿨한 스타일."
길복순,김태현,1.0,기대했던건 슬기로운 킬러생활인데결과물은 금쪽같은 내새끼네뭐 이런
인비테이션,다솜땅,3.5,"변곡점의 차이가 산을 오르는 것과 내려오는 것의 차이정도!!이, 쌍쌍바의 맛은 오묘하다!#22.9.18 (1074)"
인비테이션,SweetHorror,1.0,"예고편으로 파악한 이야기 시작하기까지가 한시간 반이고 그 전까진 진부한 멜로를 그 후로는 개연성 없는 진부한 호러가 엄청 지루하게 무게 잡고 펼쳐진다.그러다가 ""현대 여성들은 고마운 줄을 몰라!"" 하고 외치는 지점에 이르면 아, 또 한 편의, 장르의 기본도 모르면서 페미니즘 한다고 엄청 목에 힘들어간 여성 감독의 호러 작품이구나... 또 밟았다. 올해만 대여섯 편은 밟은 거 같다. Fresh 한 편만 엄청 훌륭했고 나머진 다 똥 수준이다. 페미니즘 좋다. 근데 최소한의 기본적인 공부는 하고 최소한의 실력은 있어야지 아주 개판이다. 진짜 페미니즘이 무슨 호러 장르 자유이용권이냐 작작해라. 80년대 똥 슬래셔들 쏟아지듯 쏟아지네."
인비테이션,로튼토마토,1.5,토마토지수 25%관객점수 60%
인비테이션,10y,1.5,뱀파이어 등장전까지가 차라리 괜찮았음.빌런 등장 후 부터 급속도로 노잼화.그리고 뭔 뱀파이어가 그렇게 약해..
