reviewer,rate,review,movie_title
기태,3.0,솔직히 말해도 됨?불한당 때부터 변성현 취향 진짜 빻았다고 생각함근데내 취향이 더 빻아서 괜찮음늘 재밌다 성현아,길복순
박준영 (영화 담다),3.5,액션을 품은 멜로 드라마이자 성장 영화.예상 할 수 있을 이야기를 조금씩 꼬아가면서 차민규와의 관계부터 왜 길복순이라는 인물이 '살인청부업자'로 살아가게 되었는지 관객들이 납득할 수 있게끔 너무 길지 않게 이야기를 풀어나간다. 자칫하면 설명이 길어질 수 있는 부분들을 짧게 회상으로 담아내거나 생략함으로써 관객들에게 '상상'할 수 있는 여지를 어느정도 남긴다.,길복순
재원,3.0,겉멋과 허세마저 스타일리쉬하고 섹시하게 보이도록 하는 전도연과 설경구의 앙상블.,길복순
빡치고짜증나는작품만코멘트함,0.5,전도연한테 감사해라,길복순
이동진 평론가,2.0,"제대로 작동하지 않는 그 아이러니한 세계, 온전히 배어들지 못한 그 쿨한 스타일.",길복순
김태현,1.0,기대했던건 슬기로운 킬러생활인데결과물은 금쪽같은 내새끼네뭐 이런,길복순
주방장의 잡기술,3.0,복수는 몸을 망가트리는 것이 아닌 마음을 무너트리는 일사랑은 남의 문을 억지로 여는 것이 아닌 내 문을 열어서 보여주는 일,길복순
박서하,2.5,오락성은 그럴듯해도 주제의식은 기본 이하.,길복순
moviemon94,3.5,길복순은 닥터 스트레인지다,길복순
P1,2.5,전설의 킬러 길윅..뚜껑을 열어보니거품 낀 남행선 누나였다폼만 잡고 노가리만 한 트럭액션은 쥐똥만큼이였다..중2까진 아니지만치명적이고 쿨한 척하는 고1병.마 내가 존윅고에서 전학 온 전설의 유성매직펜 복순이다마 한판 붙자 옥땅으로 따라와!알았다 밥묵고 소화좀 시키고 한 시간 있다 올라갈께 문디자슥아!마 안올라오나? 한 시간 지났다 쉐끼야아따마 자슥 와이리 보채쌋노? 콱마 주디 분질러뿔라마양치질하고 빙그레 웃으면서 바나나우유 좀 마시고 올라갈게 30분있다 올라간다마 도랐나? 안 올라오나? 조패뿌까? 쫄았나아따마 자슥이 와이리 깐족되노 모나미칼 심지에 피 조금 묻혀서 나중에 느그집에 보내줄까? 한주먹거리도 안되는기 좋다 가자 한판 뜨자-옥땅으로 올라온 후-30분 동안 서로를 처다보고만 서있는다(머릿속으로 지상최대의 혈투 중)(빙그레 웃으면서)왜 수가 안보여?ㅎㅎ방심한 그 순간!쇽!윽!뭐 이런 느낌 너무너무 쌘 먼치킨들의 입담과 싸움,길복순
Conor O'Malley,0.5,영화 감독이 많은 영화를 본듯. 조잡함의 끝,길복순
D.K.o.V,3.5,"장르에 대한 이해와 퀄리티, 그리고 개성만 챙겨도 이미 반은 먹고 들어간다는 걸 여실히 증명한다.",길복순
띠부,3.5,사람 죽이는 것보다 육아가 힘들어보임,길복순
율무,0.5,설정이 매우 난데없음 근데 액션에 매력도 없음... 흥행을 오로지 배우 이름에만 기댄 창의력 0의 시나리오... 넷플릭스 이런것좀 그만 내놨으면 좋겠다지 나름대론 개쩌는 여자 킬러란 설정 따오고 남자로만 버무린 느와르도 포기햇는데 여자가 또 마미로 나와 벌여.... 머리아프다,길복순
영화에 진심인 망고의 주관적인 리뷰,2.5,애쓴다 애써,길복순
익명,2.0,타란티노인줄 알았는데 갑분 ebs청소년퀴어,길복순
ㅅㅁ,3.5,"기대했던 스토리는 아니지만, 전도연과 이솜의 연기력과 구교환의 깜찍함에 나름 만족합니다.",길복순
네주,1.0,너무 유치해요..보다 껐어요길복순이 죽인건 개연성..,길복순
캡틴부메랑,5.0,좀 더 집요하고 신속하고 간결하고 뻔뻔했으면 이렇게 돌아서자마자 잊혀지진 않았을텐데- 재밌게 본 분들도 별점 아끼시는게 웃음 포인트,길복순
JE,3.0,"액션 영화라는 탈을 쓴, (킬러마냥 매번 정체가 바뀌는) 배우-어머니로서의 삶을 사는 전도연을 향한 오마주 같다. 다른 무엇보다 전도연이란 개성이자 개연성으로 밀어붙이는 영화, 어쩌면 팬픽. 복순이 증명해내는 것처럼, 대체 불가능한 어떤 아이콘을 가지고서 벌이는 B급 난장의 실험극.그래선지 '진부하다', '어디서 본 것 같다', 는 평은 오히려 이 영화에 대한 상찬인지도 모르겠단 생각이 들었다. 그럴수록 전도연의 존재감이 더 빛날 테니까. '살인 청부업'이란 소재를 놓고서 상상할 수 있는 모든 요소들을 갖다 붙인 것마냥 뻔하고, 또 그렇게 느끼게끔 만들어져 있어 보인다. 이를테면 <회사원>마냥 노동의 감각, 자본적인 문제, 인물 대사 그대로 모순적인 규칙, 회사 안에서 벌어지는 시기, 경쟁, 암투, 주인공을 닮은 루키, 이것저것 등등. 거기다가 근친상간과 동성애 등 (결코 감추고 싶은 의도 없이) 대놓고 덧입혀지는 코드마저도 대뜸 진부하게 엄습한다. 그런데 그 많은 요소들 중에 어느 특정한 한 화두를 갖고서 더 깊이 들어가려 하지도 않는다. 그저 B급 액션과 스타일을 들이붓는다. 단번에 수를 읽고 머리 속으로 시뮬레이션하는, 마치 무협 고수 같은 길복순이나 덤벼 들 때 불쑥 호랑이 울음 효과음이 입혀지는 차민규 같은 설정들.그 와중에 (<일타 스캔들> 속 남행선과 겹쳐 보이기도 하는) K-모성애를 씌우기도 하는데, 정말 뻔하디 뻔한 누더기 같은 이야기 아닌가. 그런데 전도연의 존재가 문득 그걸 봉합해 버리는 것이다. 킬러도, 엄마도 되어 버리는 존재감, 진부한 클리셰와 유치한 대사, B급 액션, 요란한 스타일도 설득해내는 아우라 같은 게 <길복순>의 전도연에게 있어 보인다. 영화가 노리는 점도 그 자체 같다. 전도연이라는 봉합술, 치트키. 그러고 보면 '살인 청부업'과 관련된 여느 설정 중 영화판을 연상시키는 어느 컨셉이 가장 많이 반복되고 주를 이룬다. 선후배 관계, ""작품"", ""제2의 길복순"", ""우상"", ""데뷔""와 같은 표현들, 이조차도 그리 낯설지 않은 설정처럼 느껴지는 감은 있으나, ""작품 끝난 지도 얼마 안 됐고, 이젠 후배들한테도 기회를 줘야 한다""는 복순의 대사나 A급 현장에서 영지를 가르쳐주며 나누는 대화들(""감정을 실어야 해"", ""와, 감정이 여기까지 느껴집니다"")을 보면 늬앙스가 더욱 강하게 다가온다.MK의 세 가지 규칙마저도 은근히 배우 캐스팅이랄지 그와 비슷한 철칙처럼도 느껴지고, 길복순의 시뮬레이션이란 것도 무수히 이뤄지는 연기 테이크의 비유일까도 싶다. 좀 더 끼워 맞추자면, 첫 살인을 17살에 한 복순마냥 전도연도 10대에 CF 데뷔를 했고, (검색하다 안 사실이지만) 전도연의 실제 자녀 이름도 '재영'이더라. 어쩌면 여성 킬러 영화에 웬 '모성애' 같은 걸 얹어 흥을 냅다 깬 게 아니라, 전도연을 위해서 그래야만 했던 건지도 모른다. <일타 스캔들>도 그렇고, 어쩐지 전도연의 최근 역할들이 흥미롭기도 한 부분. 그렇게 본다면야, 그저 상투적인 의미에서가 아니라, 정말 배우 한 명에게 모든 걸 기댄, 꽤나 진기한 영화가 아닌가 싶다.",길복순
ㅇㄱㅇ입니다,3.0,나도 참... 취향 이상해..,길복순
신기누설,3.0,"‘존 윅’같은 액션 영화를 기대한다면 실망하겠지만'변성현' 특유의 누아르 멜로와가장 '전도연'스러운 캐릭터 ‘길복순’에게 집중한다면분명 만족할 만한 킬링타임용 영화가 될 수 있을 거 같다📍3월 28일, 길복순 시사회",길복순
리얼리스트,3.0,전도연이기 때문에 영화적으로 성립 가능한양면성. 만화적이고 이질적인 이미지와 스타일이 제대로 작동하지 않지만그럼에도 불구하고 전도연때문에 보게된다,길복순
윤제아빠,3.5,배우의 아우라로 묻어버린 약점들...#배우가왜중요한지보여주는교보재#주조연모두가이루어낸오케스트라#스타일리쉬한미장센은물이오른듯#전체적으로각본이많이약한듯하다,길복순
Hyunjoo Park,4.5,변성현 미쳤나…올해 본 영화 중 최고.,길복순
juyoung,2.0,"겉멋이 잔뜩 든 영화임에도 기깔나게 잘 뽑는 영화가 있는가 하면 오글오글 거리는 영화가 있는데, 이 영화는 후자임.",길복순
YoungJin Shin,1.5,아 이건좀 별로네각본이 일단 너무 구리다연출도 그에 못지않다그저그런 아무런 감흥없는 킬러물 아류졸작.,길복순
나쁜피,2.0,비밀을 감추지 못했던 감독의 참회록인가?-유성매직은 멋지더라.-배우빨로 그나마 별 두개~-[감상 중]뭔 영화가 주욱 보기 힘들지?두 번이나 끊고 보는 중…-[감상 전]오우~ 여성킬러가 갓도연이면 게임 끝이지2023-04-01 ~ 04-05 넷플릭스,길복순
괴무리,2.5,겉 멋에만 잔뜩 힘준가벼운 영화,길복순
Jay Oh,3.0,"몸에 안 좋을 듯한, 근데 맛있긴 한.Okay, I guess I wasn't here for the theme anyways. Killer, sporadically.",길복순
흑곰,1.5,"예상을 한치도 벗어나지 않는 (엄마,여성) 클리셰 덩어리에개연성은 어디다 두고왔는지 이해가 안되는 영화.전도연님  진짜 팬인데 드라마는 이번에 성공하셨는데,이제 영화도 다시 잘 고르셔서 성공하시길 .",길복순
모자,1.0,감독 생각이 겁나게 게으름,길복순
bbdes,4.0,"여러분 킬빌은 가고 킬복수니가 왔써!! 배우님들과 감독님, 그리고 관계자 분 무대 인사로 만나뵌 베를리날레 갈라 상영회, 저도 잊지 못할 거예요! 관객들이 육성으로 (여러 번) 함께 웃으며 즐겁게 관람했습니다. 재밌었어요. 함께 본 외국인 친구도 한국에는 좋은 배우가 너무나 많다고 감탄하더라구요. 액션 미쳤고 피칠갑은 피할 수 없었고 지금 타란티노 다시 보면 올드하다 싶은 부분들 벅벅 긁어줘서 물개박수 치고 나왔습니다!",길복순
상범,0.5,항마력 딸려서 도저히 끝까지 못보겠다..,길복순
Magnolia,3.5,"나에게 날아올 칼들을 보기도 힘든 세상에서 이제야 보게 된, 총알세례를 받고도 버티며 서 있는 너.",길복순
인생은 한편의 영화,4.5,난 3추함,길복순
MABOO,2.5,그래도 변성현이라 이정도 만들었다고 생각한다.,길복순
신상훈남,4.5,"""뒤에서 남 탓하면서 자기 연민에 빠진 거 그거 능력 없는 사람들 특권인 거죠? 미안해요, 다들. 내가 능력이 좀 많네.""이 곳에선 살인이 지극히 이성적인 작업이다.사람이 하나둘 픽픽 쓰러지는데 전혀 ‘위협’받지 않고 그것에 ‘무감각’해진다. 그 과정에서 주는 액션이 주는 긴장감은 미미했다. ‘누가 이 전투에서 죽을지, 누가 피를 흘리며 쓰러질지‘ 같은 흥미진진한 의구심 대신, 감각적인 미장센과 촬영 기법에 더 눈길이 갔다. 그만큼 서사적인 흐름과 결말보다 디테일적인 부분을 잘 살린 영화라고 생각한다. 피는 더 붉게 보이고 핏방울은 느리게 떨어지며 칼날에 피가 묻어 있지 않아도, 왠지 묻어있을 것만 같은. 이 변성현 감독만의 향기. <불한당> 때와 같다.영화의 향기를 남기는 것은 상당히 중요하다. 나처럼 영화의 소상한 것 하나까지 기억하고 기록하려는 사람들한테는 더욱 그렇다. ’무슨 장면이었는지‘ 기억도 잘 나지 않고, 감정선의 자극 없이 평탄하게 흘러간다면 이제는 ‘이게 무슨 영화였더라’ 기억조차 하기 힘들다. 아무리 글로 남긴다고 한들. 그러나 변성현 감독의 ‘식상함’ 따위는 잘 담아내지 않는 연출이라면 조금은 미흡해도 그것이 더욱 내 기억에 오래 머금고 있을 수 있다. 그만의 특별한 감각이 이 영화에 스며들었다. 인물과 인물 사이 애틋한 감정선, 고급스러운 음향, 한국 영화라고는 믿을 수 없는 미장센, <불한당>에 이어 아주 멋스럽고 독특하게 재미있는 작품이었다. 앞으로 그의 작품이 한국 영화계에 더 자리잡았으면 좋겠다.[이 영화의 명장면 📽️]1. 여수 로터리 화장실 사건이 영화의 액션은 미묘하게 '존 윅'을 닮아있다. 배우들은 움직이고 카메라는 당연하게도 그 움직임을 담아낸다. 그 과정에 여러 대의 카메라는 필요없었다. 전도연은 부드럽고 우아하게 움직이고 상대 배우는 힘 있고 절도 있게 무기를 휘두른다. 또 슬로우 모션이 많이 첨가되는데 그 타이밍도 심히 적절했다. 칼질을 막는 움직임을 예상하여 등 뒤로 한 바퀴 돌아 옆구리를 베는 기막힌 액션과 이에 맞서 매직 뚜껑을 다루는 걸로 시작하여 이내 급소를 노려 매직으로 칠하는 장면은 다시 봐도 정말 잘 빠진 것 같다. 길복순의 매력과 힘이 극한으로 과시되었던 장면. 전도연의 대사 처리와 톤 또한 일품.“너 방금 죽었어. 비명도 못 지르고.”2. 축하 자리에서 칼 겨누는 자리로정이 없다. 인간성이 없다. 어제까지 같이 잔을 기울이며 좋은 소리만을 주고 받았던 그들이 ’권력‘에 눈이 멀어 겨눠서는 안 되는 상대에게 칼을 내민다. 사실 그 말을 전부 듣기 전에 통화를 끊었을 때부터, 잠시 아무 일이 일어나지 않는 줄 알았다. 다들 연장을 들다가 내려놓은 상태였다. 감히 안심했다. 이내 벌어지는 환상적이고도 끔찍한 전투는 예상하지도 못 한 채. 분명 피 튀기고 사람은 힘 없이 쓰러지고- 딸을 가진 주부에겐 감당키 힘든 상황일지도 모르지만, 전투 중 찰나 그녀는 해맑게 웃는다. 그녀의 잔인한 본성이 드러나는 대목이었다.“이것도 참 모순이다. 그렇지?”“선배도 즐기잖아요.”3. 어길 수 없는 규칙여태까지 몇 백 명 혹은 그 이상을 냉철하게 죽여왔을 그가 이상하게 젠틀해 보인다. 그래 봤자 살인자인데, 자신 앞에서 날뛰는 걸 인내하기엔 아마 무리였을 것이다. 마치 자신에게 도전이라도 하는 듯 장비를 꺼내어 도발하는 그에게 다시는 그러지 못 하게끔 확실하게 각인시켜준다. 죽이진 않는다. 칼날 대신 손잡이로 흠씬 두들겨 팬다. 얼굴을 함몰시킨다. 끔찍하면서도, 어느샌가 그에게 이입했는지라 동시에 속이 다 시원했던 장면.""저는 규칙을 어길 수가 없습니다. 제가 규칙이거든요.”검붉은 현실의 피와는 달리립스틱처럼 새빨갛고심지어멋까지 낸 것 같은 피의 색감이것이 길복순이다이것이 그녀의그리고 영화의 색깔",길복순
황재윤,2.5,아직은 건재한 배우 전도연의 쿨하고도 굴곡진 인생사.,길복순
수진,3.0,"솔직히, 몸에 나쁜 게 더 맛있어.-전신에 문신이 가득하며 누워서 자고 있던 오다 신이치로는 일어나 보니 자신이 길바닥 한가운데에 있음을 알게 된다. 그리고 저 멀리 한 여자가 서 있고, 여자가 다가오며 오다의 신상을 술술 외친다. 여자는 오다에게 편하게 자연사하려면 착하게 살았어야 했다고 말하고, 오다는 왜 자신이 깨어날 때까지 기다린 것이냐고 묻는다. 여자는 자신에게 싹수없지만 예쁜 딸이 있으며, 국회의원 아들의 입시비리 뉴스에 대고 부모 마음에 그럴 수도 있겠다며 동조한 자신에게 딸이 그러면 안 된다며 공정한 경쟁을 해야 한다고 나무랐던 일화를 말해준다.직장에서는 프로 킬러이지만 가정에서는 딸과의 관계가 소원한 엄마인 길복순이라는 인물을 주인공으로 하여 '모순'에 대한 이야기를 풀어내는 흐름이 흥미롭다. 길복순은 사람을 죽이는 것은 쉽지만 딸을 대하는 것은 어려운 엄마의 입장에 놓여있는데, 왜 어려운가 하면 그것은 길복순의 삶이 모순적이기 때문일 것이다. 그리고 영화는 그런 길복순 주변에 세상은 원래 모순 투성이라는 문장을 둘러주고, 그런 길복순이 자신이 갖고 있는 모순을 마주하며 딸과의 관계를 쌓아나가는 흐름을 매끄럽게 진행시킨다.같은 일을 하는 사람들 사이에 끈끈한 의리가 있지만 힘과 권력 앞에서는 서로 칼을 겨누려는 것 또한 모순일 것이며, 이는 곧 누아르에도 걸맞은 테마처럼 느껴진다. 모순적이기에 결과적으로 복합적인 인물들로 가득 차 있는 각본의 흐름도 흥미롭고, 몇몇 인물들의 퇴장 방식이 다소 아쉽기는 하지만 단순한 흐름과 담백한 감정, 유려한 연출과 절제된 대사들이 깔끔한 맛을 내는 누아르 영화라고 생각된다. 물론 대역을 썼다면 더 강렬하고 박진감 넘치는 장면이 만들어질 수도 있었겠지만, 직접 액션에 임한 전도연의 활약도 역시나 멋지다.",길복순
Ahn.JS,0.5,"광개토대왕, 을지문덕, 김구, 안중근의 공통점이 사람을 죽인거라고?사람은 대가리가 아닌 머리가 있다.그렇다면 제작 과정에서 생각이란 걸 할 수 있지 않나?!놓쳤거나 실수가 아닌 작가(감독)의 의도였다면 그 가치관 또렷이 기억해 두겠소.",길복순
Dh,3.0,무디지 않은 복순씨의 규칙#보이지 않는 수,길복순
문화는 인문학이다,1.0,이건 좀...,길복순
이진훈,2.5,"갱년기 워킹맘과 사춘기 여고생의 비밀, 조직과 개인의 핏빛 인연,  젠더문제 등이..어디서 본듯한 세계관 속에서.. 다 따로따로 싸운다",길복순
림군이,1.0,화려한 라인업의 배우들로 만들어낸 스팸 무비,길복순
yyjjd,0.5,개연성 작품성 캐릭터성 매력 단 하나도 못잡은 중학생 수준의 허세만 가득한 지나치게 수준낮은 필력. 라인업만 화려해서 낚여서 봤건만 인생에서 2시간 넘게 날림.,길복순
소나무,1.5,이 작품의 유일한 존재 이유는 제작진과 배우진의 노고뿐,길복순
